,user_id,merchant_id,coupon_value,three_trx,five_trx
0,384212,817754,25000,0,0
1,521382,571603,25000,0,0
2,492364,841900,25000,0,0
3,565771,074426,25000,0,0
4,636203,404793,25000,0,0
5,788042,404793,25000,0,0
6,318404,666703,25000,0,0
7,269330,531400,25000,1,0
8,709364,531400,25000,0,0
9,577125,407034,25000,0,0
10,575881,531400,25000,1,0
11,189164,531400,25000,0,0
12,555317,074426,25000,0,0
13,243344,074426,25000,0,0
14,429312,531400,25000,0,0
15,019984,531400,25000,0,0
16,218877,227212,25000,0,0
17,869590,531400,25000,0,0
18,468395,404793,25000,0,0
19,806695,404793,25000,0,0
20,069662,074426,25000,0,0
21,518081,531400,25000,0,0
22,807334,355706,25000,0,0
23,200346,531400,25000,0,0
24,435734,841900,25000,0,0
25,425778,404793,25000,0,0
26,428793,074426,25000,1,0
27,465189,404793,25000,0,0
28,536470,855467,25000,0,0
29,862646,074426,25000,0,0
30,283325,175577,25000,0,0
31,906843,002940,25000,0,0
32,238523,324950,25000,0,0
33,676141,531400,25000,0,0
34,011326,629060,25000,0,0
35,963364,403849,25000,0,0
36,083813,227212,25000,0,0
37,208256,074426,25000,0,0
38,954918,324950,25000,0,0
39,305704,074426,25000,0,0
40,715128,324950,25000,0,0
41,969764,016153,25000,0,0
42,094913,629060,25000,0,0
43,971295,324950,25000,0,0
44,516514,124542,25000,0,0
45,172636,531400,25000,0,0
46,302742,227212,25000,0,0
47,309321,403849,25000,0,0
48,552802,531400,25000,0,0
49,173710,531400,25000,0,0
50,031926,629060,25000,0,0
51,814975,324950,25000,0,0
52,656619,531400,25000,0,0
53,751720,531400,25000,0,0
54,639660,404793,25000,1,1
55,604308,531400,25000,0,0
56,513571,404793,25000,0,0
57,083313,074426,25000,0,0
58,086158,899747,25000,0,0
59,310562,074426,25000,0,0
60,596833,531400,25000,0,0
61,698513,531400,25000,0,0
62,591152,531400,25000,0,0
63,855073,324950,25000,0,0
64,775240,531400,25000,0,0
65,567193,841900,25000,0,0
66,718112,403849,25000,0,0
67,979900,415702,25000,0,0
68,034487,002940,25000,0,0
69,003951,404793,25000,0,0
70,080455,841900,25000,0,0
71,589370,841900,25000,0,0
72,464194,841900,25000,0,0
73,345591,899747,25000,0,0
74,211769,899747,25000,0,0
75,586973,666703,25000,0,0
76,575771,920229,25000,0,0
77,603428,899747,25000,0,0
78,447314,518674,25000,0,0
79,516760,016153,25000,0,0
80,361401,571603,25000,0,0
81,083605,531400,25000,0,0
82,404683,302065,25000,0,0
83,753665,531400,25000,0,0
84,449233,227212,25000,0,0
85,659304,324950,25000,0,0
86,246241,324950,25000,0,0
87,087633,629060,25000,0,0
88,005370,531400,25000,0,0
89,074023,324950,25000,0,0
90,792321,841900,25000,0,0
91,302500,324950,25000,0,0
92,798784,124542,25000,0,0
93,103724,376444,25000,0,0
94,160964,074426,25000,0,0
95,882495,002940,25000,0,0
96,168737,841900,25000,0,0
97,254829,531400,25000,0,0
98,558328,571603,25000,0,0
99,067607,404793,25000,0,0
100,306284,324950,25000,0,0
101,817204,002940,25000,0,0
102,173749,658432,25000,1,1
103,198092,571603,25000,1,0
104,988092,531400,25000,0,0
105,938580,531400,25000,0,0
106,692968,899747,25000,0,0
107,131090,531400,25000,0,0
108,236123,403849,25000,1,0
109,538062,404793,25000,0,0
110,125645,771691,25000,0,0
111,991361,403849,25000,0,0
112,202482,376444,25000,1,1
113,728533,403849,25000,0,0
114,428392,531400,25000,0,0
115,447572,404793,25000,0,0
116,473149,404793,25000,0,0
117,464750,407034,25000,0,0
118,274693,899747,25000,0,0
119,008940,531400,25000,0,0
120,954053,175577,25000,0,0
121,573647,002940,25000,0,0
122,527880,105870,25000,0,0
123,778345,404793,25000,0,0
124,893386,531400,25000,0,0
125,892023,403849,25000,0,0
126,226094,841900,25000,0,0
127,365780,531400,25000,0,0
128,541224,324950,25000,0,0
129,806793,002940,25000,0,0
130,610632,855467,25000,1,0
131,325591,227212,25000,0,0
132,224228,531400,25000,0,0
133,549668,899747,25000,0,0
134,807113,404793,25000,0,0
135,403971,016153,25000,0,0
136,331530,404793,25000,0,0
137,504748,841900,25000,0,0
138,406172,002940,25000,1,0
139,458011,531400,25000,0,0
140,692453,324950,25000,1,0
141,053337,571603,25000,0,0
142,574261,531400,25000,0,0
143,755755,518674,25000,0,0
144,192272,817754,25000,0,0
145,130614,403849,25000,0,0
146,897922,531400,25000,0,0
147,988612,531400,25000,0,0
148,837591,571603,25000,0,0
149,844081,324950,25000,0,0
150,343670,074426,25000,0,0
151,262954,666703,25000,0,0
152,227171,531400,25000,0,0
153,650681,074426,25000,0,0
154,094663,074426,25000,0,0
155,747271,002940,25000,0,0
156,389868,415702,25000,0,0
157,592028,324950,25000,0,0
158,975972,531400,25000,0,0
159,321181,324950,25000,0,0
160,708768,531400,25000,0,0
161,363430,571603,25000,0,0
162,867090,404793,25000,0,0
163,994207,841900,25000,0,0
164,205526,002940,25000,0,0
165,557220,404793,25000,0,0
166,584378,531400,25000,0,0
167,908645,531400,25000,0,0
168,161701,403849,25000,0,0
169,391172,404793,25000,0,0
170,994483,403849,25000,0,0
171,643097,817754,25000,0,0
172,965431,074426,25000,0,0
173,667930,531400,25000,0,0
174,957623,404793,25000,0,0
175,417525,404793,25000,0,0
176,387103,841900,25000,0,0
177,638203,531400,25000,0,0
178,091505,407034,25000,0,0
179,547750,355706,25000,0,0
180,525548,324950,25000,0,0
181,002964,074426,25000,0,0
182,228498,404793,25000,0,0
183,045593,324950,25000,0,0
184,570091,404793,25000,0,0
185,424985,817754,25000,0,0
186,708892,841900,25000,0,0
187,712603,571603,25000,0,0
188,972463,841900,25000,0,0
189,601067,899747,25000,0,0
190,130193,002940,25000,0,0
191,627805,175577,25000,0,0
192,488088,899747,25000,0,0
193,578782,841900,25000,0,0
194,075698,531400,25000,0,0
195,218254,166745,25000,0,0
196,896541,846880,25000,0,0
197,812643,311933,25000,0,0
198,100747,002940,25000,0,0
199,877790,324950,25000,0,0
200,482783,841900,25000,0,0
201,641863,817754,25000,0,0
202,646741,016153,25000,0,0
203,734363,227212,25000,0,0
204,008739,324950,25000,0,0
205,981433,571603,25000,0,0
206,712598,404793,25000,0,0
207,674001,074426,25000,0,0
208,889673,841900,25000,0,0
209,586782,324950,25000,0,0
210,852473,666703,25000,0,0
211,978772,404793,25000,0,0
212,371010,899747,25000,0,0
213,878689,571603,25000,0,0
214,204813,817754,25000,0,0
215,749512,899747,25000,0,0
216,333701,841900,25000,0,0
217,537420,002940,25000,0,0
218,267096,403849,25000,0,0
219,812174,074426,25000,0,0
"220,"""",403849,25000,0,0"
221,107444,403849,25000,1,0
222,201945,324950,25000,0,0
223,112818,376444,25000,0,0
224,650564,175577,25000,1,0
225,419490,324950,25000,0,0
226,317571,404793,25000,0,0
227,990951,403849,25000,0,0
228,927384,899747,25000,0,0
229,219235,899747,25000,0,0
230,288581,571603,25000,0,0
231,160749,404793,25000,0,0
232,506302,571603,25000,0,0
233,473543,404793,25000,0,0
234,294111,841900,25000,0,0
235,279598,324950,25000,0,0
236,668769,324950,25000,1,0
